ID,brand,model,vehiclenumber,cost,status,duration
21677,suzuki25,,20,23446,,0
21678,bajaj,,50,21703,,0
21679,bajaj1,,28,39698,,0
21680,honda,,36,48134,,0
21681,suzuki,,50,39949,,0
21682,suzuki25,,21,40909,,0
21683,bajaj,,27,46521,,0
21684,bajaj1,,50,26896,,0
21685,honda,,23,45523,,0
21686,suzuki,,64,37245,,0
21687,suzuki25,,59,51853,,0
21688,bajaj,,63,45325,,0
21689,bajaj1,,61,50379,,0
21690,honda,,20,35290,,0
21691,suzuki,,36,31377,,0
21692,suzuki25,,24,34352,,0
21693,bajaj,,67,27068,,0
21694,bajaj1,,54,23782,,0
21695,honda,,51,39665,,0
21696,suzuki,,47,20463,,0
21697,suzuki25,,64,29908,,0
21698,bajaj,,60,47404,,0
21699,bajaj1,,48,20346,,0
21700,honda,,24,22916,,0
21701,suzuki,,43,23584,,0
21702,suzuki25,,34,40503,,0
21703,bajaj,,30,46365,,0
21704,bajaj1,,51,20591,,0
21705,honda,,36,43541,,0
21706,suzuki,,62,25369,,0
21707,suzuki25,,40,40048,,0
21708,bajaj,,35,21234,,0
21709,bajaj1,,57,32778,,0
21710,honda,,24,52453,,0
21711,suzuki,,27,21548,,0
21712,suzuki25,,22,36500,,0
21713,bajaj,,59,43196,,0
21714,bajaj1,,47,46389,,0
21715,honda,,27,33712,,0
21716,suzuki,,43,28319,,0
21717,suzuki25,,22,47816,,0
21718,bajaj,,53,49316,,0
21719,bajaj1,,69,38269,,0
21720,honda,,37,23202,,0
21721,suzuki,,59,52021,,0
21722,suzuki25,,66,42325,,0
21723,bajaj,,21,45496,,0
21724,bajaj1,,60,34031,,0
21725,honda,,42,45031,,0
21726,suzuki,,50,33131,,0
21727,suzuki25,,53,51372,,0
21728,bajaj,,35,51486,,0
21729,bajaj1,,48,21037,,0
21730,honda,,28,49551,,0
21731,suzuki,,45,44357,,0
21732,suzuki25,,24,39560,,0
21733,bajaj,,51,37172,,0
21734,bajaj1,,63,38765,,0
21735,honda,,59,49045,,0
21736,suzuki,,59,33485,,0
21737,suzuki25,,20,46225,,0
21738,bajaj,,46,32823,,0
21739,bajaj1,,58,42835,,0
21740,honda,,55,45135,,0
21741,suzuki,,51,28347,,0
21742,suzuki25,,44,23328,,0
21743,bajaj,,27,40535,,0
21744,bajaj1,,38,38068,,0
21745,honda,,62,28559,,0
21746,suzuki,,53,36834,,0
21747,suzuki25,,40,51999,,0
21748,bajaj,,45,37736,,0
21749,bajaj1,,48,34507,,0
21750,honda,,42,50490,,0
21751,suzuki,,59,43853,,0
21752,suzuki25,,43,49177,,0
21753,bajaj,,68,22163,,0
21754,bajaj1,,54,42854,,0
21755,honda,,52,36391,,0
21756,suzuki,,60,44345,,0
21757,suzuki25,,41,38383,,0
21758,bajaj,,35,48814,,0
21759,bajaj1,,22,40726,,0
21760,honda,,44,51839,,0
21761,suzuki,,38,25418,,0
21762,suzuki25,,22,21976,,0
21763,bajaj,,65,32808,,0
21764,bajaj1,,26,21350,,0
21765,honda,,26,42740,,0
21766,suzuki,,39,28850,,0
21767,suzuki25,,57,29838,,0
21768,bajaj,,48,52653,,0
21769,bajaj1,,66,34209,,0
21770,honda,,61,21131,,0
21771,suzuki,,55,39710,,0
21772,suzuki25,,21,38869,,0
21773,bajaj,,64,25321,,0
21774,bajaj1,,41,38074,,0
21775,honda,,58,47314,,0
21776,suzuki,,60,34727,,0
21777,suzuki25,,44,29638,,0
21778,bajaj,,42,52503,,0
21779,bajaj1,,35,37702,,0
21780,honda,,38,39083,,0
21781,suzuki,,58,24857,,0
21782,suzuki25,,56,50301,,0
21783,bajaj,,37,23358,,0
21784,bajaj1,,38,43698,,0
21785,honda,,68,31269,,0
21786,suzuki,,20,48462,,0
21787,suzuki25,,62,42783,,0
21788,bajaj,,67,20556,,0
21789,bajaj1,,49,30482,,0
21790,honda,,48,51695,,0
21791,suzuki,,66,32113,,0
21792,suzuki25,,59,44371,,0
21793,bajaj,,24,52075,,0
21794,bajaj1,,54,45895,,0
21795,honda,,22,28515,,0
21796,suzuki,,21,25951,,0
21797,suzuki25,,30,34977,,0
21798,bajaj,,49,28484,,0
21799,bajaj1,,27,49991,,0
21800,honda,,29,39503,,0
21801,suzuki,,27,20614,,0
21802,suzuki25,,44,42838,,0
21803,bajaj,,26,44817,,0
21804,bajaj1,,50,31430,,0
21805,honda,,38,22482,,0
21806,suzuki,,45,20210,,0
21807,suzuki25,,53,41693,,0
21808,bajaj,,67,24747,,0
21809,bajaj1,,21,30882,,0
21810,honda,,20,51729,,0
21811,suzuki,,31,41830,,0
21812,suzuki25,,53,32680,,0
21813,bajaj,,23,21748,,0
21814,bajaj1,,23,41903,,0
21815,honda,,63,46223,,0
21816,suzuki,,42,41901,,0
21817,suzuki25,,38,35116,,0
21818,bajaj,,45,21580,,0
21819,bajaj1,,65,21470,,0
21820,honda,,42,32618,,0
21821,suzuki,,68,28306,,0
21822,suzuki25,,60,39022,,0
21823,bajaj,,23,33532,,0
21824,bajaj1,,46,35544,,0
21825,honda,,34,28113,,0
21826,suzuki,,20,22301,,0
21827,suzuki25,,43,25143,,0
21828,bajaj,,49,29105,,0
21829,bajaj1,,45,24954,,0
21830,honda,,25,39013,,0
21831,suzuki,,67,23296,,0
21832,suzuki25,,48,37363,,0
21833,bajaj,,59,34943,,0
21834,bajaj1,,39,35799,,0
21835,honda,,57,23149,,0
21836,suzuki,,48,35425,,0
21837,suzuki25,,36,35000,,0
21838,bajaj,,39,40713,,0
21839,bajaj1,,41,39864,,0
21840,honda,,48,22786,,0
21841,suzuki,,43,33122,,0
21842,suzuki25,,23,42002,,0
21843,bajaj,,50,33470,,0
21844,bajaj1,,25,35232,,0
21845,honda,,35,44443,,0
21846,suzuki,,69,34831,,0
21847,suzuki25,,33,34433,,0
21848,bajaj,,27,29770,,0
21849,bajaj1,,24,38631,,0
21850,honda,,45,39328,,0
21851,suzuki,,27,43942,,0
21852,suzuki25,,45,35795,,0
21853,bajaj,,52,22446,,0
21854,bajaj1,,63,24427,,0
21855,honda,,66,36599,,0
21856,suzuki,,41,48208,,0
21857,suzuki25,,41,28091,,0
21858,bajaj,,33,32408,,0
21859,bajaj1,,40,32739,,0
21860,honda,,66,22942,,0
21861,suzuki,,38,40127,,0
21862,suzuki25,,23,45396,,0
21863,bajaj,,67,43769,,0
21864,bajaj1,,21,40410,,0
21865,honda,,48,24780,,0
21866,suzuki,,21,52559,,0
21867,suzuki25,,26,21617,,0
21868,bajaj,,65,47079,,0
21869,bajaj1,,53,28890,,0
21870,honda,,20,23101,,0
21871,suzuki,,36,41635,,0
21872,suzuki25,,49,27115,,0
21873,bajaj,,63,20806,,0
21874,bajaj1,,40,47193,,0
21875,honda,,62,30862,,0
21876,suzuki,,66,47058,,0
21877,suzuki25,,66,30286,,0
21878,bajaj,,23,22237,,0
21879,bajaj1,,21,24658,,0
21880,honda,,49,42442,,0
21881,suzuki,,56,30358,,0
21882,suzuki25,,57,31371,,0
21883,bajaj,,67,34230,,0
21884,bajaj1,,56,34501,,0
21885,honda,,36,52646,,0
21886,suzuki,,29,37927,,0
21887,suzuki25,,50,49315,,0
21888,bajaj,,44,23291,,0
21889,bajaj1,,39,44649,,0
21890,honda,,56,42746,,0
21891,suzuki,,59,44967,,0
21892,suzuki25,,31,48741,,0
21893,bajaj,,22,26032,,0
21894,bajaj1,,27,48977,,0
21895,honda,,58,25203,,0
21896,suzuki,,27,26435,,0
21897,suzuki25,,51,52397,,0
21898,bajaj,,64,30972,,0
21899,bajaj1,,25,37981,,0
21900,honda,,39,46230,,0
21901,suzuki,,47,52089,,0
21902,suzuki25,,52,38352,,0
21903,bajaj,,68,30431,,0
21904,bajaj1,,42,52391,,0
21905,honda,,62,27534,,0
21906,suzuki,,42,42022,,0
21907,suzuki25,,36,35862,,0
21908,bajaj,,44,52094,,0
21909,bajaj1,,40,31309,,0
21910,honda,,59,46425,,0
21911,suzuki,,53,37188,,0
21912,suzuki25,,63,33132,,0
21913,bajaj,,31,47993,,0
21914,bajaj1,,59,42059,,0
21915,honda,,50,31054,,0
21916,suzuki,,36,49538,,0
21917,suzuki25,,23,43962,,0
21918,bajaj,,65,27617,,0
21919,bajaj1,,47,30527,,0
21920,honda,,23,49175,,0
21921,suzuki,,53,21276,,0
21922,suzuki25,,65,36227,,0
21923,bajaj,,28,39107,,0
21924,bajaj1,,35,33094,,0
21925,honda,,63,42893,,0
21926,suzuki,,53,34717,,0
21927,suzuki25,,43,28845,,0
21928,bajaj,,62,22382,,0
21929,bajaj1,,38,32611,,0
21930,honda,,44,23584,,0
21931,suzuki,,24,20850,,0
21932,suzuki25,,57,29104,,0
21933,bajaj,,47,37843,,0
21934,bajaj1,,33,42753,,0
21935,honda,,20,38827,,0
21936,suzuki,,56,31348,,0
21937,suzuki25,,42,37755,,0
21938,bajaj,,63,50361,,0
21939,bajaj1,,27,33942,,0
21940,honda,,39,50661,,0
21941,suzuki,,48,50393,,0
21942,suzuki25,,58,35012,,0
21943,bajaj,,58,43158,,0
21944,bajaj1,,24,36976,,0
21945,honda,,28,47313,,0
21946,suzuki,,21,33826,,0
21947,suzuki25,,40,23983,,0
21948,bajaj,,64,52553,,0
21949,bajaj1,,65,36139,,0
21950,honda,,42,23513,,0
21951,suzuki,,31,21003,,0
21952,suzuki25,,62,34022,,0
21953,bajaj,,57,48914,,0
21954,bajaj1,,42,44913,,0
21955,honda,,25,41592,,0
21956,suzuki,,32,50050,,0
21957,suzuki25,,44,36247,,0
21958,bajaj,,41,36727,,0
21959,bajaj1,,56,34023,,0
21960,honda,,25,38811,,0
21961,suzuki,,64,27692,,0
21962,suzuki25,,68,33786,,0
21963,bajaj,,35,33518,,0
21964,bajaj1,,38,41076,,0
21965,honda,,31,34090,,0
21966,suzuki,,46,41745,,0
21967,suzuki25,,53,50247,,0
21968,bajaj,,66,44180,,0
21969,bajaj1,,53,52299,,0
21970,honda,,62,46931,,0
21971,suzuki,,39,26959,,0
21972,suzuki25,,20,26693,,0
21973,bajaj,,63,41265,,0
21974,bajaj1,,43,30301,,0
21975,honda,,42,30088,,0
21976,suzuki,,36,39958,,0
21977,suzuki25,,26,33245,,0
21978,bajaj,,27,51024,,0
21979,bajaj1,,21,51736,,0
21980,honda,,32,31578,,0
21981,suzuki,,30,52536,,0
21982,suzuki25,,34,39248,,0
21983,bajaj,,38,45127,,0
21984,bajaj1,,62,33447,,0
21985,honda,,63,38285,,0
21986,suzuki,,32,51718,,0
21987,suzuki25,,30,29701,,0
21988,bajaj,,32,26199,,0
21989,bajaj1,,61,33549,,0
21990,honda,,40,39967,,0
21991,suzuki,,65,36449,,0
21992,suzuki25,,61,37130,,0
21993,bajaj,,34,50762,,0
21994,bajaj1,,29,48587,,0
21995,honda,,29,24595,,0
21996,suzuki,,68,45602,,0
21997,suzuki25,,25,39613,,0
21998,bajaj,,69,24382,,0
21999,bajaj1,,67,31732,,0
22000,honda,,32,23622,,0
22001,suzuki,,30,22849,,0
22002,suzuki25,,21,22835,,0
22003,bajaj,,56,33152,,0
22004,bajaj1,,34,46048,,0
22005,honda,,58,39573,,0
22006,suzuki,,44,25444,,0
22007,suzuki25,,36,34651,,0
22008,bajaj,,55,44447,,0
22009,bajaj1,,38,27101,,0
22010,honda,,25,23315,,0
22011,suzuki,,44,38345,,0
22012,suzuki25,,20,23797,,0
22013,bajaj,,57,34593,,0
22014,bajaj1,,63,39300,,0
22015,honda,,61,45364,,0
22016,suzuki,,41,21146,,0
22017,suzuki25,,61,47565,,0
22018,bajaj,,47,23169,,0
22019,bajaj1,,54,29866,,0
22020,honda,,26,35591,,0
22021,suzuki,,30,45871,,0
22022,suzuki25,,20,45781,,0
22023,bajaj,,23,48220,,0
22024,bajaj1,,50,27900,,0
22025,honda,,33,33021,,0
22026,suzuki,,51,38609,,0
22027,suzuki25,,66,24608,,0
22028,bajaj,,68,22523,,0
22029,bajaj1,,27,36812,,0
22030,honda,,68,28874,,0
22031,suzuki,,25,32240,,0
22032,suzuki25,,44,49867,,0
22033,bajaj,,22,48538,,0
22034,bajaj1,,32,51097,,0
22035,honda,,69,21609,,0
22036,suzuki,,46,27125,,0
22037,suzuki25,,55,31813,,0
22038,bajaj,,35,29977,,0
22039,bajaj1,,30,44365,,0
22040,honda,,22,36426,,0
22041,suzuki,,61,33809,,0
22042,suzuki25,,65,27821,,0
22043,bajaj,,24,22530,,0
22044,bajaj1,,57,50011,,0
22045,honda,,63,38439,,0
22046,suzuki,,54,37303,,0
22047,suzuki25,,53,46097,,0
22048,bajaj,,34,52736,,0
22049,bajaj1,,59,20240,,0
22050,honda,,34,40482,,0
22051,suzuki,,25,52135,,0
22052,suzuki25,,69,37586,,0
22053,bajaj,,66,35134,,0
22054,bajaj1,,32,39129,,0
22055,honda,,65,32279,,0
22056,suzuki,,56,38064,,0
22057,suzuki25,,20,20355,,0
22058,bajaj,,42,23630,,0
22059,bajaj1,,55,47702,,0
22060,honda,,22,33598,,0
22061,suzuki,,59,24472,,0
22062,suzuki25,,27,44276,,0
22063,bajaj,,39,51581,,0
22064,bajaj1,,67,22881,,0
22065,honda,,63,48279,,0
22066,suzuki,,46,24517,,0
22067,suzuki25,,60,43339,,0
22068,bajaj,,38,35781,,0
22069,bajaj1,,46,20866,,0
22070,honda,,47,37053,,0
22071,suzuki,,34,30368,,0
22072,suzuki25,,38,51031,,0
22073,bajaj,,42,41914,,0
22074,bajaj1,,64,26973,,0
22075,honda,,43,26628,,0
22076,suzuki,,35,49099,,0
22077,suzuki25,,68,38280,,0
22078,bajaj,,28,30505,,0
22079,bajaj1,,21,22558,,0
22080,honda,,39,36375,,0
22081,suzuki,,67,47256,,0
22082,suzuki25,,54,37418,,0
22083,bajaj,,23,24637,,0
22084,bajaj1,,69,40694,,0
22085,honda,,52,45177,,0
22086,suzuki,,44,21356,,0
22087,suzuki25,,57,33490,,0
22088,bajaj,,60,45415,,0
22089,bajaj1,,64,42270,,0
22090,honda,,63,39809,,0
22091,suzuki,,51,26099,,0
22092,suzuki25,,52,25899,,0
22093,bajaj,,53,50528,,0
22094,bajaj1,,22,43261,,0
22095,honda,,59,40410,,0
22096,suzuki,,54,22858,,0
22097,suzuki25,,53,22905,,0
22098,bajaj,,54,48888,,0
22099,bajaj1,,22,34661,,0
22100,honda,,44,23182,,0
22101,suzuki,,54,25995,,0
22102,suzuki25,,21,23439,,0
22103,bajaj,,44,45716,,0
22104,bajaj1,,61,41479,,0
22105,honda,,59,23575,,0
22106,suzuki,,56,32355,,0
22107,suzuki25,,67,23821,,0
22108,bajaj,,35,41861,,0
22109,bajaj1,,40,24710,,0
22110,honda,,41,32536,,0
22111,suzuki,,35,31899,,0
22112,suzuki25,,60,27681,,0
22113,bajaj,,44,39332,,0
22114,bajaj1,,53,29655,,0
22115,honda,,59,22955,,0
22116,suzuki,,51,37045,,0
22117,suzuki25,,66,37920,,0
22118,bajaj,,44,42957,,0
22119,bajaj1,,35,47565,,0
22120,honda,,57,44127,,0
22121,suzuki,,38,46349,,0
22122,suzuki25,,35,41386,,0
22123,bajaj,,62,39481,,0
22124,bajaj1,,62,28418,,0
22125,honda,,68,48228,,0
22126,suzuki,,21,47651,,0
22127,suzuki25,,66,31304,,0
22128,bajaj,,51,48069,,0
22129,bajaj1,,27,22399,,0
22130,honda,,57,49777,,0
22131,suzuki,,36,46583,,0
22132,suzuki25,,29,22418,,0
22133,bajaj,,51,50080,,0
22134,bajaj1,,51,47823,,0
22135,honda,,66,28775,,0
22136,suzuki,,62,42904,,0
22137,suzuki25,,43,32872,,0
22138,bajaj,,56,39167,,0
22139,bajaj1,,29,36447,,0
22140,honda,,66,32714,,0
22141,suzuki,,50,37472,,0
22142,suzuki25,,34,40646,,0
22143,bajaj,,53,49353,,0
22144,bajaj1,,65,33118,,0
22145,honda,,48,21876,,0
22146,suzuki,,43,49259,,0
22147,suzuki25,,62,40753,,0
22148,bajaj,,21,35150,,0
22149,bajaj1,,28,24435,,0
22150,honda,,66,39741,,0
22151,suzuki,,34,21065,,0
22152,suzuki25,,45,44762,,0
22153,bajaj,,60,29328,,0
22154,bajaj1,,68,31754,,0
22155,honda,,30,20072,,0
22156,suzuki,,34,20996,,0
22157,suzuki25,,48,32740,,0
22158,bajaj,,55,30120,,0
22159,bajaj1,,55,40454,,0
22160,honda,,66,47635,,0
22161,suzuki,,52,47594,,0
22162,suzuki25,,27,34672,,0
22163,bajaj,,43,48193,,0
22164,bajaj1,,57,50192,,0
22165,honda,,30,46849,,0
22166,suzuki,,47,21438,,0
22167,suzuki25,,30,32603,,0
22168,bajaj,,61,41292,,0
22169,bajaj1,,38,41966,,0
22170,honda,,33,26226,,0
22171,suzuki,,30,37690,,0
22172,suzuki25,,40,42457,,0
22173,bajaj,,33,34391,,0
22174,bajaj1,,29,35698,,0
22175,honda,,46,33766,,0
22176,suzuki,,36,42764,,0
22177,suzuki25,,40,36681,,0
22178,bajaj,,39,46374,,0
22179,bajaj1,,28,22543,,0
22180,honda,,37,27137,,0
22181,suzuki,,49,32178,,0
22182,suzuki25,,44,29434,,0
22183,bajaj,,39,48005,,0
22184,bajaj1,,20,41495,,0
22185,honda,,54,37096,,0
22186,suzuki,,20,30688,,0
22187,suzuki25,,45,47550,,0
22188,bajaj,,42,32624,,0
22189,bajaj1,,53,35617,,0
22190,honda,,54,45259,,0
22191,suzuki,,25,34900,,0
22192,suzuki25,,60,52594,,0
22193,bajaj,,44,50168,,0
22194,bajaj1,,34,27445,,0
22195,honda,,28,24963,,0
22196,suzuki,,63,41289,,0
22197,suzuki25,,62,51951,,0
22198,bajaj,,53,35738,,0
22199,bajaj1,,43,28335,,0
22200,honda,,66,39010,,0
22201,suzuki,,26,39399,,0
22202,suzuki25,,51,21499,,0
22203,bajaj,,34,49884,,0
22204,bajaj1,,53,42738,,0
22205,honda,,41,22442,,0
22206,suzuki,,64,47708,,0
22207,suzuki25,,20,25909,,0
22208,bajaj,,25,30317,,0
22209,bajaj1,,58,43617,,0
22210,honda,,34,20294,,0
22211,suzuki,,34,27526,,0
22212,suzuki25,,56,21519,,0
22213,bajaj,,30,39454,,0
22214,bajaj1,,64,46150,,0
22215,honda,,66,42177,,0
22216,suzuki,,30,44886,,0
22217,suzuki25,,57,33620,,0
22218,bajaj,,66,41580,,0
22219,bajaj1,,50,21373,,0
22220,honda,,55,43142,,0
22221,suzuki,,64,39257,,0
22222,suzuki25,,33,32973,,0
22223,bajaj,,23,30834,,0
22224,bajaj1,,58,44836,,0
22225,honda,,53,30955,,0
22226,suzuki,,32,35585,,0
22227,suzuki25,,62,44286,,0
22228,bajaj,,60,45179,,0
22229,bajaj1,,53,51881,,0
22230,honda,,31,34725,,0
22231,suzuki,,65,36259,,0
22232,suzuki25,,30,22043,,0
22233,bajaj,,20,30101,,0
22234,bajaj1,,44,36570,,0
22235,honda,,25,46215,,0
22236,suzuki,,32,21589,,0
22237,suzuki25,,60,24984,,0
22238,bajaj,,48,24773,,0
22239,bajaj1,,66,50163,,0
22240,honda,,51,51392,,0
22241,suzuki,,46,51710,,0
22242,suzuki25,,42,52237,,0
22243,bajaj,,42,32981,,0
22244,bajaj1,,35,43191,,0
22245,honda,,68,40950,,0
22246,suzuki,,47,42080,,0
22247,suzuki25,,37,32062,,0
22248,bajaj,,54,49112,,0
22249,bajaj1,,23,32020,,0
22250,honda,,49,51438,,0
22251,suzuki,,52,21220,,0
22252,suzuki25,,23,48774,,0
22253,bajaj,,22,42447,,0
22254,bajaj1,,39,47852,,0
22255,honda,,62,28064,,0
22256,suzuki,,52,22632,,0
22257,suzuki25,,32,39938,,0
22258,bajaj,,60,50195,,0
22259,bajaj1,,48,26097,,0
22260,honda,,64,29416,,0
22261,suzuki,,61,49519,,0
22262,suzuki25,,39,44318,,0
22263,bajaj,,58,27512,,0
22264,bajaj1,,60,25526,,0
22265,honda,,65,35383,,0
22266,suzuki,,30,33872,,0
22267,suzuki25,,36,49018,,0
22268,bajaj,,54,48962,,0
22269,bajaj1,,43,48996,,0
22270,honda,,36,29675,,0
22271,suzuki,,53,48993,,0
22272,suzuki25,,28,46917,,0
22273,bajaj,,66,20831,,0
22274,bajaj1,,57,43194,,0
22275,honda,,48,32572,,0
22276,suzuki,,48,35129,,0
22277,suzuki25,,44,47738,,0
22278,bajaj,,59,51336,,0
22279,bajaj1,,51,29754,,0
22280,honda,,57,31964,,0
22281,suzuki,,41,29032,,0
22282,suzuki25,,25,30887,,0
22283,bajaj,,25,44851,,0
22284,bajaj1,,52,29361,,0
22285,honda,,39,27584,,0
22286,suzuki,,22,29802,,0
22287,suzuki25,,41,42783,,0
22288,bajaj,,68,33407,,0
22289,bajaj1,,30,45182,,0
22290,honda,,21,45995,,0
22291,suzuki,,56,37788,,0
22292,suzuki25,,25,43472,,0
22293,bajaj,,60,31361,,0
22294,bajaj1,,55,41286,,0
22295,honda,,47,22381,,0
22296,suzuki,,27,35442,,0
22297,suzuki25,,41,27406,,0
22298,bajaj,,58,24987,,0
22299,bajaj1,,64,31477,,0
22300,honda,,67,47354,,0
22301,suzuki,,42,52299,,0
22302,suzuki25,,51,43280,,0
22303,bajaj,,39,46784,,0
22304,bajaj1,,45,39741,,0
22305,honda,,22,25541,,0
22306,suzuki,,26,41613,,0
22307,suzuki25,,48,36347,,0
22308,bajaj,,35,22229,,0
22309,bajaj1,,27,21739,,0
22310,honda,,68,26111,,0
22311,suzuki,,43,30967,,0
22312,suzuki25,,36,20386,,0
22313,bajaj,,50,37776,,0
22314,bajaj1,,20,32470,,0
22315,honda,,60,40874,,0
22316,suzuki,,29,46662,,0
22317,suzuki25,,44,26221,,0
22318,bajaj,,44,33414,,0
22319,bajaj1,,40,42030,,0
22320,honda,,67,42663,,0
22321,suzuki,,31,31133,,0
22322,suzuki25,,35,46857,,0
22323,bajaj,,58,32064,,0
22324,bajaj1,,41,22129,,0
22325,honda,,23,33056,,0
22326,suzuki,,56,51547,,0
22327,suzuki25,,25,24770,,0
22328,bajaj,,69,21394,,0
22329,bajaj1,,45,27480,,0
22330,honda,,27,37885,,0
22331,suzuki,,45,48697,,0
22332,suzuki25,,45,21180,,0
22333,bajaj,,62,41871,,0
22334,bajaj1,,64,30068,,0
22335,honda,,62,51535,,0
22336,suzuki,,32,36326,,0
22337,suzuki25,,42,25711,,0
22338,bajaj,,45,46791,,0
22339,bajaj1,,52,37971,,0
22340,honda,,21,45771,,0
22341,suzuki,,60,39560,,0
22342,suzuki25,,63,33284,,0
22343,bajaj,,47,47796,,0
22344,bajaj1,,51,24938,,0
22345,honda,,52,22221,,0
22346,suzuki,,27,26811,,0
22347,suzuki25,,48,39818,,0
22348,bajaj,,55,47749,,0
22349,bajaj1,,62,20759,,0
22350,honda,,56,31360,,0
22351,suzuki,,38,41997,,0
22352,suzuki25,,56,32290,,0
22353,bajaj,,67,31393,,0
22354,bajaj1,,25,27502,,0
22355,honda,,39,43548,,0
22356,suzuki,,45,47629,,0
22357,suzuki25,,55,41099,,0
22358,bajaj,,37,51871,,0
22359,bajaj1,,20,22199,,0
22360,honda,,58,34899,,0
22361,suzuki,,55,40535,,0
22362,suzuki25,,21,51381,,0
22363,bajaj,,60,41093,,0
22364,bajaj1,,69,24008,,0
22365,honda,,36,41071,,0
22366,suzuki,,34,36437,,0
22367,suzuki25,,45,22095,,0
22368,bajaj,,25,26754,,0
22369,bajaj1,,67,30365,,0
22370,honda,,27,41638,,0
22371,suzuki,,40,47490,,0
22372,suzuki25,,31,32348,,0
22373,bajaj,,61,30353,,0
22374,bajaj1,,61,25047,,0
22375,honda,,67,43186,,0
22376,suzuki,,68,39797,,0
22377,suzuki25,,69,28254,,0
22378,bajaj,,35,33686,,0
22379,bajaj1,,47,23058,,0
22380,honda,,34,28846,,0
22381,suzuki,,21,42749,,0
22382,suzuki25,,68,45465,,0
22383,bajaj,,35,42492,,0
22384,bajaj1,,63,33327,,0
22385,honda,,59,30409,,0
22386,suzuki,,59,44569,,0
22387,suzuki25,,20,24944,,0
22388,bajaj,,34,21987,,0
22389,bajaj1,,33,25602,,0
22390,honda,,56,35409,,0
22391,suzuki,,41,51340,,0
22392,suzuki25,,32,45559,,0
22393,bajaj,,69,22346,,0
22394,bajaj1,,41,27908,,0
22395,honda,,57,31001,,0
22396,suzuki,,66,27487,,0
22397,suzuki25,,50,24107,,0
22398,bajaj,,48,26869,,0
22399,bajaj1,,42,31998,,0
22400,honda,,60,50257,,0
22401,suzuki,,23,32143,,0
22402,suzuki25,,49,25453,,0
22403,bajaj,,23,25803,,0
22404,bajaj1,,35,23239,,0
22405,honda,,61,37958,,0
22406,suzuki,,46,35512,,0
22407,suzuki25,,20,29231,,0
22408,bajaj,,34,42753,,0
22409,bajaj1,,58,52612,,0
22410,honda,,54,23719,,0
22411,suzuki,,49,21122,,0
22412,suzuki25,,69,35330,,0
22413,bajaj,,33,41824,,0
22414,bajaj1,,32,48400,,0
22415,honda,,43,26940,,0
22416,suzuki,,46,27663,,0
22417,suzuki25,,20,29014,,0
22418,bajaj,,43,40010,,0
22419,bajaj1,,21,43644,,0
22420,honda,,26,27443,,0
22421,suzuki,,43,38597,,0
22422,suzuki25,,41,44466,,0
22423,bajaj,,47,34178,,0
22424,bajaj1,,64,39357,,0
22425,honda,,67,43378,,0
22426,suzuki,,20,44585,,0
22427,suzuki25,,22,24373,,0
22428,bajaj,,48,52415,,0
22429,bajaj1,,24,47107,,0
22430,honda,,32,47763,,0
22431,suzuki,,27,40094,,0
22432,suzuki25,,69,31377,,0
22433,bajaj,,53,40069,,0
22434,bajaj1,,58,46681,,0
22435,honda,,47,48491,,0
22436,suzuki,,59,43341,,0
22437,suzuki25,,58,24295,,0
22438,bajaj,,37,49639,,0
22439,bajaj1,,23,34413,,0
22440,honda,,63,27985,,0
22441,suzuki,,54,42877,,0
22442,suzuki25,,24,49455,,0
22443,bajaj,,27,48154,,0
22444,bajaj1,,62,30655,,0
22445,honda,,58,49534,,0
22446,suzuki,,28,29221,,0
22447,suzuki25,,27,27916,,0
22448,bajaj,,66,46336,,0
22449,bajaj1,,20,44422,,0
22450,honda,,64,37697,,0
22451,suzuki,,46,52352,,0
22452,suzuki25,,20,31549,,0
22453,bajaj,,45,50197,,0
22454,bajaj1,,69,39425,,0
22455,honda,,64,40152,,0
22456,suzuki,,59,51429,,0
22457,suzuki25,,25,26637,,0
22458,bajaj,,40,31076,,0
22459,bajaj1,,36,43546,,0
22460,honda,,25,37674,,0
22461,suzuki,,44,51512,,0
22462,suzuki25,,39,30831,,0
22463,bajaj,,56,21614,,0
22464,bajaj1,,54,42116,,0
22465,honda,,32,46784,,0
22466,suzuki,,67,39083,,0
22467,suzuki25,,56,43684,,0
22468,bajaj,,28,35628,,0
22469,bajaj1,,52,33205,,0
22470,honda,,21,36005,,0
22471,suzuki,,46,38059,,0
22472,suzuki25,,50,38818,,0
22473,bajaj,,63,28555,,0
22474,bajaj1,,56,48749,,0
22475,honda,,21,36379,,0
22476,suzuki,,67,27432,,0
22477,suzuki25,,23,48281,,0
22478,bajaj,,36,26136,,0
22479,bajaj1,,34,28844,,0
22480,honda,,62,38468,,0
22481,suzuki,,41,44699,,0
22482,suzuki25,,27,45119,,0
22483,bajaj,,48,20157,,0
22484,bajaj1,,29,51010,,0
22485,honda,,26,46897,,0
22486,suzuki,,67,29821,,0
22487,suzuki25,,38,24014,,0
22488,bajaj,,21,34991,,0
22489,bajaj1,,61,42589,,0
22490,honda,,67,31733,,0
22491,suzuki,,66,28934,,0
22492,suzuki25,,60,36831,,0
22493,bajaj,,46,27913,,0
22494,bajaj1,,43,22473,,0
22495,honda,,49,33711,,0
22496,suzuki,,66,39785,,0
22497,suzuki25,,34,28543,,0
22498,bajaj,,21,51108,,0
